ticker,marketCap
BLIN,10730137.27
BLNG,192334062.5
BLPH,8399996.88
BLZE,200196600.0
BMEA,241637142.12
BMRA,46621209.48
BNFT,360645476.1
BNGO,421632790.0
BNIX,95936320.0
BNNR,197820000.0
BNRG,23292693.99
BNSO,14668704.74
BNTC,4812759.692
BOCN,243828750.0
BOLT,50465596.620000005
BON,9014188.233600002
BOOM,356416003.0
BOSC,11575059.999999998
BOTJ,55219878.01
BOXL,22796901.4006
BPAC,294400000.0
BPRN,195615496.96
BPTH,11781042.72
BRAC,135444649.8
BRAG,80209518.39999999
BREZ,50427246.24
BRFH,16815163.3
BRID,104866455.4624
BRIV,220960125.0
BRKH,388493000.0
BRLI,22233274.56
BRLT,45115532.64
BRQS,3765517.5771
BRSH,3828465.9875
BRTX,9774792.0432
BSBK,159995835.44
BSET,157020941.0
BSFC,10782499.9368
BSGA,78729187.5
BSGM,22379423.91525
BSQR,23158024.51
BSRR,322462080.75
BSVN,238650047.02
BTB,83438801.0
BTBD,11630012.4
BTBT,51799229.172
BTCS,8501624.31639
BTCY,21803682.5364
BTMD,30088886.86
BTOG,17107369.6708
BTTX,26593571.200000003
BTWN,297131450.88
BVS,204841197.825
BWAC,80545160.4231
BWAQ,122037696.0
BWB,482290295.44
BWC,249545044.1
BWEN,36963797.82
BWFG,219127607.02
BWMN,279502058.35
BWMX,233974743.42
BWV,17177202.270000003
BXRX,1984143.4798
BYFC,78569657.63
BYNO,244188000.0
BYRN,174779691.72
BYSI,70850638.04
BYTS,418234965.12
BZFD,97466267.07
CAAS,175739707.32000002
CABA,265764187.2
CACO,72244159.5
CADL,49408815.24
CALA,15739106.395
CALB,198304275.53
CAMP,156930807.06
CAPR,95160085.54
CARE,397329190.88
CARV,17750959.8
CASA,261864270.63
CASI,23417510.343
CBAN,226688430.55
CBAT,87300031.698
CBFV,110195294.56
CBIO,21785543.198
CBNK,330916963.3
CBRG,295550000.0
CCAP,413890624.0
CCCC,315038340.045
CCLP,185021075.22
CCNC,3766128.8
CCNE,499073775.98
CCTS,162236250.0
CDAK,16201352.4774
CDAQ,267006209.465
CDIO,9514743.0
CDLX,180422207.68
CDRO,120877207.9284
CDTX,55360784.343
CDXC,122873303.85
CDXS,305444605.8
CDZI,140117763.1
CEAD,6993133.9408
CECO,392054451.36
CELC,201594996.56
CELU,166040243.385
CELZ,5427800.4576
CEMI,9184460.1948
CENN,107580389.1474
CENQ,206102568.75
CETX,3577916.6528
CFBK,137957049.84
CFFE,101596021.16
CFFI,207265699.64
CFFS,235881750.0
CFMS,25707302.1
CFRX,3795607.5765
CFSB,52752257.8096
CGEM,489307511.88
CGEN,64288478.80245
CGNT,217365163.015
CGO,86938559.1
CGRN,26591368.1265
CGTX,63739189.5042
CHCI,39772929.0
CHEA,148062500.0
CHEK,14246540.0
CHMG,212665653.18
CHNR,15152837.7441
CHW,355705476.27390003
CIDM,71095439.142
CIFR,155936948.58
CIIG,366023437.5
CING,11874882.6
CISO,360514988.425
CIVB,337902329.6
CIZN,76251699.489
CJJD,35942285.6
CKPT,61511292.0
CLAR,287402991.68
CLAY,30534361.22
CLEU,30018416.35
CLGN,94382538.6973
CLIN,318722336.7
CLIR,20747487.2607
CLMB,146601633.22
CLNN,70129009.5
CLOV,443866358.7676
CLPS,26224995.42
CLPT,204539459.81
CLRB,15579551.52
CLRC,101611125.0
CLRO,36647409.15
CLSD,70423155.27
CLSK,143336708.3428
CLST,67077200.0
CLVR,14125329.6
CLWT,11056948.76
CLXT,7081986.47
CMAX,395902190.04
CMCA,296843750.0
CMCT,112779750.88
CMLS,123005476.425
CMND,7915574.4
CMPO,72494472.8
CMRA,25605359.64
