,ticker,marketCap
482,BPRN,195615496.96
483,BPTH,11781042.72
484,BRAC,135444649.8
485,BRAG,80209518.39999999
486,BREZ,50427246.24
487,BRFH,16815163.3
488,BRID,104866455.4624
489,BRIV,220960125.0
493,BRLI,22233274.56
494,BRLT,45115532.64
497,BRQS,3765517.5771
498,BRSH,3828465.9875
499,BRTX,9774792.0432
502,BSBK,159995835.44
503,BSET,157020941.0
504,BSFC,10782499.9368
505,BSGA,78729187.5
506,BSGM,22379423.91525
507,BSQR,23158024.51
509,BSVN,238650047.02
512,BTB,83438801.0
513,BTBD,11630012.4
514,BTBT,51799229.172
515,BTCS,8501624.31639
516,BTCY,21803682.5364
517,BTMD,30088886.86
518,BTOG,17107369.6708
519,BTTX,26593571.200000003
522,BVS,204841197.825
523,BWAC,80545160.4231
524,BWAQ,122037696.0
526,BWC,249545044.1
527,BWEN,36963797.82
528,BWFG,219127607.02
530,BWMX,233974743.42
531,BWV,17177202.270000003
532,BXRX,1984143.4798
533,BYFC,78569657.63
535,BYNO,244188000.0
536,BYRN,174779691.72
537,BYSI,70850638.04
539,BZFD,97466267.07
540,CAAS,175739707.32000002
544,CACO,72244159.5
545,CADL,49408815.24
547,CALA,15739106.395
548,CALB,198304275.53
550,CAMP,156930807.06
552,CAPR,95160085.54
557,CARV,17750959.8
560,CASI,23417510.343
565,CBAN,226688430.55
566,CBAT,87300031.698
568,CBFV,110195294.56
569,CBIO,21785543.198
582,CCLP,185021075.22
583,CCNC,3766128.8
588,CCTS,162236250.0
589,CDAK,16201352.4774
591,CDIO,9514743.0
592,CDLX,180422207.68
596,CDRO,120877207.9284
597,CDTX,55360784.343
599,CDXC,122873303.85
601,CDZI,140117763.1
602,CEAD,6993133.9408
605,CELC,201594996.56
607,CELU,166040243.385
608,CELZ,5427800.4576
609,CEMI,9184460.1948
610,CENN,107580389.1474
611,CENQ,206102568.75
618,CETX,3577916.6528
621,CFBK,137957049.84
622,CFFE,101596021.16
623,CFFI,207265699.64
625,CFFS,235881750.0
628,CFMS,25707302.1
629,CFRX,3795607.5765
630,CFSB,52752257.8096
635,CGEN,64288478.80245
636,CGNT,217365163.015
638,CGO,86938559.1
639,CGRN,26591368.1265
640,CGTX,63739189.5042
641,CHCI,39772929.0
644,CHEA,148062500.0
646,CHEK,14246540.0
650,CHMG,212665653.18
651,CHNR,15152837.7441
660,CIDM,71095439.142
661,CIFR,155936948.58
666,CING,11874882.6
670,CIZN,76251699.489
671,CJJD,35942285.6
672,CKPT,61511292.0
674,CLAY,30534361.22
678,CLEU,30018416.35
680,CLGN,94382538.6973
682,CLIR,20747487.2607
683,CLMB,146601633.22
686,CLNN,70129009.5
689,CLPS,26224995.42
690,CLPT,204539459.81
691,CLRB,15579551.52
692,CLRC,101611125.0
693,CLRO,36647409.15
694,CLSD,70423155.27
695,CLSK,143336708.3428
696,CLST,67077200.0
697,CLVR,14125329.6
698,CLWT,11056948.76
699,CLXT,7081986.47
705,CMCT,112779750.88
707,CMLS,123005476.425
708,CMND,7915574.4
709,CMPO,72494472.8
712,CMRA,25605359.64
713,CMRX,163763936.22
717,CNET,16842590.9577
718,CNEY,19836882.5004
719,CNFR,17970212.604000002
721,CNNB,43726777.6225
724,CNSP,3442793.2800000003
725,CNTG,26133702.505
726,CNTX,10481713.7945
727,CNTY,208071774.6631
728,CNXA,3217084.29
732,COCP,16611720.0
733,CODA,72099125.28
734,CODX,81620048.0544
735,COEP,35325478.59
736,COFS,212527374.1764
746,COMS,17072743.3275
747,CONN,168812919.75
753,COSM,50628786.761
757,COYA,46519234.848
759,CPAQ,94888491.66
761,CPHC,150159041.87309998
762,CPIX,32978209.56
764,CPOP,18278000.0
767,CPSH,38119838.9186
769,CPSS,177819178.2
770,CPTN,211348319.85
773,CRBP,14407301.315
776,CRDF,65639696.6948
777,CRDL,33227475.4112
780,CREG,19278096.24
781,CREX,12589017.064126002
782,CRGE,241795213.8714
783,CRIS,60403212.376
784,CRKN,3648630.78
785,CRMD,171320856.10000002
788,CRNT,167269848.11
796,CRVS,39104949.24
798,CRWS,54634888.8
800,CSBR,61122394.2
807,CSPI,42712979.9488
809,CSSE,108003194.0
810,CSTE,212880289.26
819,CTG,116272137.4
820,CTHR,25198450.632
821,CTIB,18805195.561
825,CTMX,105404565.365
826,CTRM,103598046.36
827,CTRN,224950357.68
829,CTSO,72871644.05
830,CTXR,115506792.7
831,CUBA,23431423.492
832,CUE,116645305.08
833,CUEN,3582103.6038
834,CULL,84501239.13
835,CURI,61255093.4
840,CVCY,249422553.86
841,CVGI,227276817.42
845,CVLY,227304052.95
848,CVV,37995119.3724
849,CWBC,129206504.25
850,CWBR,4941774.2
851,CWCO,220665118.44
853,CXDO,49376266.39
854,CYAN,6648289.260000001
856,CYCC,8401256.63
857,CYCN,30345892.1768
858,CYN,22422447.04986
859,CYRN,4719886.72
861,CYT,58297010.24
862,CYTH,11832177.96
864,CYTO,6383881.14
869,CZWI,125069467.3
870,DAIO,34560213.52
871,DAKT,133214583.04
872,DALN,20607086.5
874,DARE,74293280.0
875,DATS,5149354.75
876,DAVE,106777371.3336
878,DBGI,5941924.430000001
879,DBTX,50987498.8848
883,DCFC,241007726.8
889,DCTH,36067189.89
891,DECA,110932789.5
893,DERM,32871620.2275
894,DFFN,10900817.49
896,DGHI,10809162.8505
900,DGLY,13465070.569
907,DIBS,200882768.04
913,DKDCA,156184227.0
916,DLHC,154406263.375
918,DLPN,18691715.16
919,DLTH,205549635.75
921,DMAC,40061246.505
922,DMAQ,174520584.0
925,DMTK,54688616.05
928,DNAY,37787848.96
932,DOGZ,38488773.82
933,DOMH,19567531.4704
939,DPRO,26263789.587
941,DRCT,8411739.120000001
942,DRIO,101107912.36
943,DRMA,3606459.772
944,DRRX,82031817.39829999
946,DRTS,221527075.5
947,DRTT,52966184.53861
948,DRUG,14594080.02
955,DSP,56249726.760000005
956,DSWL,50196002.85
957,DTEA,21401640.14075
958,DTIL,129821977.35
961,DTSS,36243703.17
962,DTST,10505393.3673
963,DUET,113700750.0
964,DUNE,52692772.86
966,DUOT,15066541.51
969,DWSN,47148411.42
973,DXR,39643296.0
974,DXYN,12551900.1691
975,DYAI,38703000.5
977,DYNT,7407185.7198
981,EAR,239353605.4826
982,EAST,4010342.809200001
983,EBAC,165625617.6
986,EBET,8568971.923
988,EBMT,131463175.527
989,EBON,18837630.0
991,ECBK,146620447.06
992,ECOR,18939211.6707
995,EDBL,2316189.4029
997,EDRY,48543425.0
998,EDSA,38513168.49
999,EDTK,21968333.8
1000,EDTX,52724542.2921
1001,EDUC,27808558.3202
1003,EEIQ,26946265.32
1004,EFHT,146617650.0
1005,EFOI,3165216.670026
1007,EFTR,19375577.25
1011,EGIO,245959100.25000003
1013,EGLX,81524640.93689999
1015,EHTH,136288935.37
1016,EIGR,55974340.68
1017,EJH,2655214.0943
1018,EKSO,17479415.94
1019,ELBM,67746813.2937
1020,ELDN,30815205.120000005
1021,ELEV,22135756.2
1022,ELOX,4896077.56
1023,ELSE,15177473.66
1024,ELTK,24227026.4048
1025,ELYM,86344963.25
1026,ELYS,7137826.431
1028,EMBK,66984214.592700005
1029,EMCF,86432699.2
1030,EMCG,99406554.48
1031,EMKR,36230809.4185
1032,EML,127471551.2177
1034,ENCP,153799734.0
1036,ENG,25830145.1655
1037,ENLV,76224553.91999999
1038,ENOB,58244963.7
1040,ENSC,5130659.2
1045,ENTX,27081326.68
1046,ENVB,4416325.875
1049,EOSE,110254409.955
1051,EPIX,115030728.36
1052,EPOW,70885920.0
1053,EPSN,146302543.6494
1054,EQ,37100250.72
1059,ERES,186758144.5348
1062,ERNA,15586805.507
1064,ESCA,139981192.10000002
1065,ESEA,132610498.81000002
1068,ESOA,43334681.0
1071,ESSA,216778742.84
1074,ETON,73614377.67
1076,EUCR,42018529.41
1077,EUDA,36486530.15
1081,EVGN,30079395.9312
1083,EVGR,153100025.0
1084,EVLO,173739137.82999998
1086,EVOJ,168600493.75
1087,EVOK,8925996.9
1090,EVTV,33495524.131200004
1105,EYEN,60322358.91
1106,EYPT,122698562.4
1107,EZFL,7722940.409999999
1108,EZGO,20563453.985
1111,FAMI,9485664.675
1113,FARM,91664558.58
1116,FAT,82659151.375
1117,FATBB,86063348.7225
1119,FATP,147363300.0
1120,FAZE,126886985.75
1121,FBIO,70599906.0
1125,FBRX,21630071.07
1126,FCAP,82598369.0
1128,FCCO,163755680.125
1132,FCRD,128963940.68
1138,FEIM,66200234.945
1140,FEMY,10631055.82539
1142,FEXD,147933125.0
1144,FFBW,65140959.408
1146,FFIE,162484511.28
1149,FFNW,134632026.25
1153,FGF,25967944.772
1154,FGI,20899050.0
1155,FGMC,105234290.0
1163,FINW,116938248.7
1170,FIXX,70988553.35000001
1172,FKWL,50719122.624
1174,FLFV,129948446.25
1175,FLGC,21301434.153
1180,FLNT,94342348.74
1181,FLUX,63153889.64
1183,FLXS,83583231.5
1189,FNCB,161386881.39999998
1190,FNCH,20648687.6925
1191,FNGR,132009508.8
1194,FNVT,222770250.0
1195,FNWB,151573883.39499998
1196,FNWD,155709257.76999998
1199,FONR,114680388.5314
1200,FORA,75206007.03
1201,FORD,10715162.025
1204,FOSL,231968140.6
1208,FOXW,28821392.04
1209,FPAY,20010739.68
1210,FRAF,156618042.0
1212,FRBK,132042327.48
1213,FRBN,163343125.0
1214,FREE,172130070.39999998
1215,FREQ,140166779.925
1217,FRGI,190418473.2054
1218,FRGT,2241903.29
1220,FRLA,133223145.0
1229,FRTX,4881056.7616
1230,FRZA,12905750.000000002
1233,FSEA,57616464.5
1234,FSFG,139826260.0
1237,FSTR,106669928.96
1238,FSTX,136837445.775
1244,FTEK,38539919.4137
1245,FTFT,28499821.386453
1246,FTHM,73420702.6
1247,FTII,154153470.25
1252,FUNC,130798063.5
1253,FUND,237068456.0
1254,FUSB,51118809.11
1255,FUSN,141001919.1
1256,FUV,8574579.6
1259,FWBI,5514437.45
1264,FXCO,164151984.0
1265,FXNC,107274586.53
1268,GAIA,48894537.1
1270,GALT,70122685.89999999
1273,GAME,15104096.4208
1274,GAN,60950566.1732
1275,GANX,38145611.28
1276,GASS,97797583.36
1278,GBBK,223426875.0
1280,GBIO,240364809.365
1281,GBNH,56812531.85
1282,GBNY,25541773.200000003
1283,GBRG,78310687.5
1286,GCT,219696548.4
1287,GCTK,21822097.65
1290,GDNR,111478125.0
1292,GDST,76418275.0
1294,GECC,64160525.52
1296,GEG,63347314.63999999
1299,GENQ,113929191.2142
1300,GEOS,52866238.45999999
1303,GFAI,8231806.370925
1307,GGE,140672389.9432
1312,GHSI,9116921.804
1313,GIAC,148810750.0
1314,GIFI,80332538.955
1315,GIGM,13531251.3105
1319,GIPR,11983152.0
1323,GLBS,22434708.09
1324,GLBZ,23523460.183
1326,GLG,62940306.17999999
1327,GLLI,152439000.0
1328,GLMD,17135788.940399997
1332,GLSI,189124988.8
1333,GLST,126565675.5
1334,GLTO,30313519.365
1336,GLYC,155699113.68
1337,GMBL,5771107.856
1338,GMDA,104505038.05
1339,GMFI,151494077.5
1340,GMGI,92838349.89
1341,GMVD,2942457.84
1342,GNLN,4545090.051200001
1343,GNPX,76600391.78
1344,GNSS,130679038.1484
1347,GNUS,156378235.44
1349,GOCO,90238260.35
1356,GOSS,195094594.065
1357,GOVX,17007138.982352998
1358,GP,40849242.24
1363,GRAY,12290638.11
1364,GRCY,20129291.52
1365,GREE,12348078.54
1366,GRIL,25358382.633
1368,GRNA,173527114.425
1369,GRNQ,8349149.3613
1370,GROM,3991269.965
1371,GROW,43150238.445
1372,GRPH,188413507.08
1375,GRTX,42180097.68
1376,GRWG,246762834.75
1378,GSD,137651898.5
1380,GSIT,42600761.455000006
1382,GSMG,99339002.9964
1384,GSUN,19640375.37
1387,GTBP,33534451.6
1388,GTEC,26417013.0
1390,GTIM,27227529.781
1393,GURE,33341224.9608
1395,GVP,14335636.26
1396,GWAV,9601451.5197
1397,GWII,88300976.5
1400,GYRO,12232110.0
1405,HALL,11292773.22
1407,HAPP,16492283.28
1408,HARP,23426290.605
1413,HBIO,109559719.44
1418,HCDI,5746235.8884
1424,HCTI,8097858.124
1426,HCWB,71380638.153
1428,HEAR,123018212.8
1431,HEPA,23028967.2957
1433,HEXO,42854768.8318
1434,HFBL,53241956.95
1435,HFFG,223955654.64
1437,HGBL,87898581.25999999
1438,HGEN,14170536.065
1439,HHGC,51342400.6
1440,HHS,86739913.3457
1443,HIHO,8664069.0
1444,HILS,3918999.7539
1445,HITI,104391543.96
1446,HIVE,123294729.69
1447,HLBZ,15825711.891
1453,HMAC,91189305.0
1454,HMNF,95892886.4
1455,HMPT,179226325.565
1457,HNNA,63044286.1146
1460,HNVR,143694900.0
1461,HOFT,209752302.87
1462,HOFV,44882877.38
1464,HOLO,123981365.4
1469,HOOK,46509156.75
1472,HOTH,8798124.5356
1473,HOUR,98511695.2736
1474,HOWL,63795144.60000001
1475,HPCO,18698570.4
1478,HQI,223291436.77
1484,HSAQ,111896927.66
1485,HSCS,7216211.0867
1486,HSDT,8331254.2292
1490,HSON,64295055.36
1493,HSTO,3575889.4589
1496,HTCR,15674863.7566
1497,HTGM,4234507.92
1500,HTOO,61593173.28
1504,HUDI,67920898.14
1505,HUGE,29527884.520286
1506,HUMA,217579952.71
1507,HURC,172088077.76999998
1509,HUT,160772137.6107
1510,HVBC,60520879.413
1511,HWBK,154594390.04
1515,HYFM,67981495.645
1516,HYMC,111130155.3851
1517,HYPR,60469287.1776
1518,HYRE,13078127.07
1530,ICAD,51147278.06999999
1531,ICCC,50006007.12
1533,ICCM,63421135.60339999
1537,ICMB,52517864.4
1539,ICU,49769998.892
1542,IDAI,10905190.3416
1544,IDEX,92249376.972
1545,IDN,39512443.02
1546,IDRA,28421606.8172
1551,IFBD,12053609.7595
1552,IFRX,136890213.2584
1553,IGAC,100860171.9
1558,III,222238800.83
1560,IINN,13959603.0
1561,IKNA,91368882.36
1562,IKT,13308530.75505
1564,IMAQ,88625709.0
1565,IMBI,17937120.1941
1566,IMCC,8402173.860000001
1570,IMMR,249424669.4
1571,IMMX,30838704.4581
1572,IMNM,38221622.9459
1573,IMNN,11233240.898999998
1574,IMPL,91158961.92
1575,IMPP,46346682.24
1576,IMRA,104754747.04
1577,IMRX,105618928.0
1578,IMTE,12943759.04
1580,IMUX,62101338.6
1581,IMV,20304195.14
1584,INAB,57090025.81
1585,INBK,223704055.71
1586,INBS,4041329.499
1588,INCR,161555182.505
1592,INDP,12853601.91
1594,INFI,51087803.2158
1597,INKA,150259487.74
1598,INKT,89532711.85
1599,INM,3418472.05
1600,INMB,118084647.1
1604,INOD,83503613.69999999
1605,INPX,5700451.68
1607,INSG,95058694.731
1611,INTE,145332687.5
1612,INTG,104506721.82
1615,INTZ,66399118.24
1617,INVE,154214933.65
1618,INVO,4929648.6128
1620,INZY,55340277.31
1622,IOBT,67718758.9767
1623,IONM,5327055.44
1627,IPA,131783842.68
1630,IPDN,19378138.4503
1634,IPW,11828952.8
1635,IPWR,62641978.7707
1640,IREN,63230353.4
1641,IRIX,32861871.134400003
1643,IRON,77947196.40689999
1644,IROQ,59409742.8
1648,ISIG,14605593.78
1649,ISO,62108084.5
1650,ISPC,12435882.4968
1651,ISPO,75064146.0
1653,ISSC,141992946.6
1654,ISTR,213692462.4
1655,ISUN,19455293.39
1656,ITAQ,219506250.0
1658,ITI,129196536.63
1663,ITRM,11252257.4052
1665,IVAC,165364264.0
1669,IVDA,9084810.573
1670,IVVD,167832897.54
1672,IZEA,35095255.36350001
1674,JAGX,13156754.916
1675,JAKK,166077960.71999997
1677,JAN,4567833.5
1679,JAQC,201148710.59
1685,JCSE,10954566.64
1686,JCTCF,19923449.4
1687,JEWL,50919775.7875
1688,JFBR,8356814.595
1692,JMAC,138921173.65
1694,JNCE,55829775.96
1695,JOAN,121137369.21
1697,JRSH,49082960.52
1699,JSPR,113073705.3
1701,JUPW,17454746.5134
1702,JVA,11702627.95
1703,JWAC,189719750.0
1704,JWEL,13505295.4135
1705,JXJT,11042179.58107
1706,JYNT,196731853.66
1707,JZXN,3015545.7021
1708,KA,61496435.7
1709,KACL,104911118.62
1712,KAL,6808696.2468
1713,KALA,52307821.23
1715,KALV,165680149.5
1717,KAVL,49681560.105
1718,KBAL,242482344.78
1719,KBNT,9361625.0
1725,KEQU,45254898.0
1726,KERN,3118164.873453
1727,KFFB,54391815.65
1731,KINS,14851453.61
1732,KINZ,78928660.0
1733,KIRK,42216958.08
1734,KITT,168212744.76
1737,KLTR,230548212.99
1738,KLXE,182289883.05
1739,KMDA,184578076.48
1740,KMPH,155961976.23999998
1742,KNDI,174595383.31199998
1746,KOPN,114149349.6
1747,KOSS,45807177.05
1748,KPLT,84429214.0544
1749,KPRX,3979392.555
1751,KRBP,3466876.42
1752,KRMD,157574219.04
1756,KRON,90468414.66
1762,KSCP,71495998.74
1763,KSI,219625000.0
1764,KSPN,2765367.421
1765,KTCC,48320800.79
1767,KTRA,13171589.9
1768,KTTA,17841699.68
1770,KVHI,192874567.58
1773,KWE,10018162.5
1774,KXIN,62443928.5845
1775,KYCH,152863200.0
1778,LAB,93569802.74
1779,LABP,21415601.48
1780,LAKE,97647279.24
1784,LARK,117212249.3
1785,LASE,16150754.849999998
1787,LATG,167050000.0
1790,LAZY,129917547.99
1792,LBBB,93060470.0
1794,LBPH,72820930.5
1802,LCFY,7297988.4
1804,LCNB,203321297.65500003
1805,LCUT,168772735.56
1809,LEDS,8794869.72
1810,LEE,111147574.6935
1814,LEXX,15126841.8162
1816,LFCR,196018904.95
1817,LFLY,23224632.9968
1818,LFMD,59439999.15
1821,LFVN,47602532.65
1823,LGHL,37850439.1617
1825,LGMK,4373027.2287
1831,LGVN,71111569.6365
1833,LHDX,21314450.85
1834,LIBY,152331910.5
1835,LIDR,86875080.0408
1836,LIFE,67881953.88
1840,LINC,155433033.6
1842,LINK,51513524.4
1843,LION,163294750.0
1844,LIPO,17806229.5
1845,LIQT,16410406.25464
1847,LITM,40244666.6616
1849,LIVB,128570024.25
1850,LIVE,96545134.64
1852,LIXT,8453139.9254
1853,LJAQ,76680241.0
1854,LKCO,76386546.5088
1858,LMB,114452511.3
1860,LMFA,7369407.848817
1861,LMNL,10132291.584
1862,LMNR,220346564.9
1863,LMST,186770689.35
1864,LNKB,136847102.4
1865,LNSR,31416416.4
1869,LOAN,62235931.219
1872,LOOP,115246149.57
1875,LPCN,36289424.31
1879,LPTH,32769246.62
1880,LPTX,42084084.8
1884,LRFC,60321263.0
1885,LRMR,173725838.0
1887,LSBK,69316215.115
1889,LSEA,219901730.91
1890,LSTA,20356581.56
1895,LTBR,45756092.95
1896,LTCH,104994322.375
1897,LTRN,67096507.2
1898,LTRPA,50851122.71985
1900,LTRX,154019422.0
1901,LTRY,9136943.82
1902,LUCD,55533707.9
1903,LUCY,9426232.53
1905,LUMO,33239298.2698
1908,LUXH,46210944.2664
1909,LVAC,147631250.0
1910,LVLU,96380173.83
1911,LVO,57282954.260000005
1914,LVTX,93852040.59
1915,LWAY,86690447.15939999
1920,LYLT,60545355.18
1921,LYRA,98345454.72
1922,LYT,21568881.726
1925,MACA,150184050.0
1926,MACK,154754204.22
1928,MAPS,93226279.7
1929,MAQC,89862913.6
1932,MARK,125977600.0
1933,MARPS,13780000.0
1935,MASS,234663501.6
1937,MATH,13839211.879499998
1940,MAYS,96354284.0
1941,MBCN,217325213.28
1943,MBIO,40260645.395406
1945,MBOT,25052743.9
1946,MBRX,31776887.970000003
1947,MBTC,56433118.368
1951,MCAC,117542636.2
1952,MCAE,71427480.92
1953,MCAF,76330750.0
1959,MCHX,70883579.3808
1960,MCLD,20456990.4
1963,MCVT,13329224.525
1966,MDIA,27837350.24
1967,MDJH,18563593.44
1969,MDNA,33210108.9661
1970,MDRR,12033563.43
1972,MDVL,23157219.8528
1973,MDWD,79171753.36500001
1974,MDWT,47494414.24
1977,MEAC,222812525.00000003
1979,MEDS,2702425.32
1980,MEGL,25000000.0
1981,MEIP,33341868.423
1984,MEOA,169608037.5
1987,MESA,65114645.63
1990,METX,3522450.4209000003
1992,MFIN,159004563.465
1993,MGAM,18787865.56
2001,MGTA,24222208.0
2003,MGYR,86445088.1734
2004,MHLD,184803577.88
2005,MHUA,208756800.00000003
2006,MICS,14424896.96
2007,MICT,127534404.42
2009,MIGI,21002934.2579
2010,MIND,5971902.4278
2011,MINM,8155982.20173
2013,MIRO,63758099.75
2014,MIST,137144008.0
2015,MITA,188062500.0
2018,MKTW,56568748.34
2021,MLAC,184179687.5
2023,MLGO,53943748.38
2026,MLVF,134508049.36
2028,MMLP,116163742.5
2029,MMMB,66824856.88
2032,MNDO,42420127.86
2035,MNMD,90546444.99
2036,MNOV,105449428.9
2037,MNPR,31137942.28
2039,MNSB,204319103.64
2042,MNTS,69903173.2347
2044,MNTX,79403137.0
2045,MOBQ,5772285.0161
2046,MOBV,133862928.0
2047,MODD,21851446.0
2050,MOGO,40756379.8
2054,MOTS,4050368.52
2055,MOVE,45381855.150000006
2056,MOXC,16714253.6577
2057,MPAA,229181735.8
2058,MPAC,34443726.300000004
2063,MRAI,16978543.9209
2064,MRAM,110724499.65
2065,MRBK,177554100.85999998
2066,MRCC,189363811.6
2068,MRIN,16598625.1
2069,MRKR,23733572.9015
2071,MRNS,212363743.16000003
2078,MSAC,116963050.0
2083,MSGM,11101546.05
2085,MSSA,149108700.0
