ticker,marketCap
ARYE,192056865.0
ASAP,3739691.3882
ASCA,88591860.0
ASCB,258819000.0
ASLE,836160839.7499999
ASMB,63657880.425
ASNS,8054402.7372
ASO,4025634162.895
ASPA,
ASPI,57376402.089999996
ASPS,141483124.57500002
ASPU,7632097.480799999
ASRT,201867302.33999997
ASRV,67260444.81
ASTC,17496468.0
ASTE,932118906.96
ASTI,49369331.46
ASTL,654283816.1999999
ASTR,115933198.383
ASTS,312507235.36499995
ASUR,189610649.91
ASYS,111301224.3
ATAI,436252057.40999997
ATAK,258055000.00000003
ATCX,195395054.54
ATEC,1238637639.9599998
ATER,61680020.3486
ATEX,621591862.9699999
ATHA,126539025.22500001
ATHX,13687986.1036
ATIF,21589561.110000003
ATLC,377745908.77949995
ATLO,212844592.89000002
ATNF,19870161.3937
ATNI,742768627.92
ATNX,25799515.0622
ATOM,147893107.4
ATOS,72580939.852
ATRA,311676430.95
ATRC,2060785431.6000001
ATRI,988928087.5799999
ATRO,325089086.76
ATSG,1896756593.76
ATVI,60066493233.25
ATXG,33580444.32
ATXI,5687333.68
ATXS,405848030.04
ATY,89514650.16
AUB,2629845046.4
AUBN,79060065.64199999
AUDC,558445396.525
AUGX,59517204.36
AUID,16191880.258200001
AUPH,845552732.85
AUR,1338892193.1499999
AURA,402621854.22999996
AURC,350631122.31
AUUD,12148751.04
AUVI,12499950.755061
AVAC,266810062.5
AVAH,146094552.992
AVAV,2099252233.62
AVCT,36204056.69
AVDX,1837027290.485
AVEO,519534933.015
AVGO,231214311831.3
AVGR,8030495.5200000005
AVHI,127750000.00000001
AVID,1169613798.78
AVIR,402695734.565
AVNW,345602927.77000004
AVO,832840469.975
AVPT,774684450.8000001
AVRO,32830566.0
AVT,3799798171.44
AVTE,666305376.8399999
AVTX,47164661.04
AVXL,732841061.0
AWH,41814044.4128
AWRE,37464715.65
AXDX,58478603.147999994
AXGN,416945777.4
AXLA,24236318.791500002
AXNX,2950995672.18
AXON,11909521991.9
AXSM,3217010080.96
AXTI,191634889.60000002
AY,3048187884.39
AYLA,6381805.0462
AYRO,15548617.559999999
AYTU,12673177.335
AZ,43726043.29
AZPN,13275240004.84
AZTA,4055544239.04
AZYO,66612997.344
BACK,6239781.2085
BAFN,67513604.39999999
BAND,551946060.825
BANF,2856452185.4
BANR,2149894175.52
BANX,124153902.48
BAOS,8049194.56
BASE,609361039.35
BATRA,1740430328.68
BATRK,1716639513.1299999
BBBY,271960050.0
BBCP,336486007.185
BBGI,28016187.186300002
BBIG,111301510.0582
BBIO,1070299239.44
BBLG,3254732.4222
BBSI,651560290.22
BCAB,304243032.73
BCAN,138283651.79999998
BCBP,301851462.40000004
BCDA,42636778.49999999
BCEL,35164558.6391
BCLI,58466846.400000006
BCML,246718610.0
BCOR,1214823244.91
BCOV,219196250.57
BCOW,66210770.0
BCPC,3913254481.55
BCRX,2077693641.0749998
BCSA,423963720.0
BCTX,69831081.0
BDSX,156050958.72
BDTX,66186494.92
BEAM,2608056246.6099997
BEAT,37422398.962
BECN,3437222501.52
BEEM,166071994.9
BELFA,398107183.09999996
BELFB,411710218.51000005
BFC,827055575.5999999
BFI,28484136.96
BFIN,134778274.82
BFRI,22691481.7998
BFST,550304581.12
BGCP,1469761672.6200001
BGFV,200879108.15
BGRY,150670952.8533
BGXX,80403724.04
BHAC,288937500.0
BHAT,3791979.2
BHF,3535292500.02
BIAF,12722020.0
BIGC,613393792.1999999
BIIB,39371423867.64001
BIMI,5171012.6104
BIOC,9670616.713
BIOL,4951851.597
BIOR,22299206.352
BIOS,300574050.0
BIOT,290662500.0
BIOX,742256911.26
BIRD,333057437.53
BITF,91423754.4
BIVI,219222429.75
BJDX,7627662.204
BJRI,622697489.0400001
BKCC,265976039.155
BKNG,78650138896.56
BKR,29037551583.255
BKSC,92724816.93509999
BKYI,5851070.7024
BL,4046296533.37
BLBD,369887722.05
BLBX,4227942.0935
BLCM,6461006.6027
BLDE,241471556.97
BLDP,1414036051.0800002
BLEU,346380000.0
BLFS,762517673.02
